PMAID,the_geom,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,ORIG_FID
322,POINT (-122.35535254024099 47.63126282170146),7008.01776328,353.10740413,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,6
322,POINT (-122.35505634945147 47.63158818432751),5919.70999578,334.916999,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,7
488,POINT (-122.30446228709225 47.67656332710144),1440.81266702,151.84856352,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,12
292,POINT (-122.34340864856209 47.669367127426725),6562.12958265,350.17501598,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,110
292,POINT (-122.3431911505528 47.669035558387705),6527.88301504,349.4494576,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,114
292,POINT (-122.3434106737857 47.669036237120686),6516.33234983,349.23220533,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,115
292,POINT (-122.3437238534377 47.66532041900472),6501.2623988,350.88852826,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,121
307,POINT (-122.3281595339251 47.68154877700408),6284.25706988,346.95545054,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,125
376,POINT (-122.31046412975198 47.64137584222565),6275.29492555,345.04460084,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,138
398,POINT (-122.25267204219327 47.68134928799439),6370.31887229,453.16133651,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,155
398,POINT (-122.25216449556366 47.68135191355719),6335.47966593,348.0000059,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,156
288,POINT (-122.35010493684312 47.72352024201299),6442.35099196,349.06020988,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,161
242,POINT (-122.37012986428029 47.66695716755015),6477.61303869,349.60856664,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,167
426,POINT (-122.29679147263583 47.58531566066653),6654.10384388,351.45313829,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,184
426,POINT (-122.29701225407855 47.58565240872685),6644.65229914,351.29628124,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,187
419,POINT (-122.2886303169379 47.579561679248734),6360.97877648,345.46291311,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,191
353,POINT (-122.30020593022972 47.60773983443006),6342.19217306,337.02814621,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,197
400,POINT (-122.31552578678314 47.586765232892986),6284.43079426,344.93044041,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,200
439,POINT (-122.26049484284687 47.51493928739743),6176.82411477,341.69041184,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,210
422,POINT (-122.27388216022963 47.52395740808581),6708.05344059,353.47588064,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,212
404,POINT (-122.31592196809233 47.553145918391685),6079.34257505,342.96329419,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,227
4453,POINT (-122.39158089560314 47.53662235785636),6389.79257768,346.52106474,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,228
4453,POINT (-122.39137591945914 47.53658004995081),6322.4053327,345.54412658,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,229
423,POINT (-122.2868326497809 47.56244939482995),6513.23685961,348.70276101,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,239
446,POINT (-122.40779351731848 47.579248741224134),6291.77685588,345.53196742,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,246
292,POINT (-122.34318392392146 47.66971628812034),6577.84539389,350.18267418,04/01/2016 12:00:00 AM +0000,0,,Tennis,,,,,,,,,255
292,POINT (-122.34329304605689 47.66532081301278),6526.73728215,351.30689058,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,119
307,POINT (-122.32857161181005 47.68153224839518),6183.31384565,346.03858201,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,124
352,POINT (-122.29548251157507 47.70633525855747),6314.84632027,345.97322063,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,135
376,POINT (-122.31025237646972 47.6413755764854),6295.18905198,345.37505258,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,137
380,POINT (-122.32550037666631 47.64293274945737),6431.76903689,351.63895551,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,141
391,POINT (-122.30280860142982 47.669445600701245),6509.93606769,350.78929692,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,144
398,POINT (-122.25174054551927 47.68135224313534),6408.11704841,349.08050056,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,146
391,POINT (-122.30302459106242 47.66944559950509),6481.65763632,350.32595228,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,159
373,POINT (-122.30708798519046 47.620764738957654),6552.58260077,350.54240543,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,179
4242,POINT (-122.29601678611432 47.59001892363658),6610.58792333,350.22696146,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,189
450,POINT (-122.36482982839202 47.563279418577686),6519.57211469,350.76401894,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,204
3941,POINT (-122.3748219430166 47.54024866998767),6395.39081825,345.92007911,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,206
428,POINT (-122.25759900754207 47.54838794549805),7430.86362212,364.73588629,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,214
422,POINT (-122.2736591458969 47.52395715117888),6687.31171293,353.1345977,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,217
439,POINT (-122.26028463513474 47.51493839490773),6175.5363219,341.66874875,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,218
463,POINT (-122.34983217417081 47.54001482541898),6457.19704346,348.23359282,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,221
4453,POINT (-122.39172615733749 47.53630609792375),6508.53345953,350.24846399,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,233
3972,POINT (-122.24717253519977 47.5101293066095),7469.65603438,365.69186635,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,5
314,POINT (-122.36490011524455 47.626287840550134),6007.10684455,324.25574217,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,8
367,POINT (-122.28770575131277 47.601354740481455),6238.27060334,334.94453572,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,16
435,POINT (-122.31998508172177 47.664707968219865),6227.49175415,342.63295962,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,123
435,POINT (-122.31977318514504 47.664705894619175),6205.97188578,342.47531187,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,129
287,POINT (-122.3151781198036 47.68060828921587),6699.14658392,355.68098957,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,131
369,POINT (-122.27823043581724 47.63487015581205),6353.23658371,345.83928622,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,139
340,POINT (-122.27897518325737 47.65898601397748),6304.50864446,345.40560434,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,143
251,POINT (-122.38041391408002 47.695888145769466),6410.66398664,347.87009138,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,145
398,POINT (-122.2524599221112 47.68134997074562),6392.91609652,348.89594821,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,147
399,POINT (-122.31739152577549 47.63163384330532),6561.30302135,351.20525849,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,172
373,POINT (-122.30686421409747 47.620760470161805),6756.53665777,353.54642619,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,173
400,POINT (-122.31574057064611 47.58676722315152),6473.05611337,348.45187352,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,199
450,POINT (-122.36504626388118 47.56328055272285),6501.29425968,350.32334369,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,205
422,POINT (-122.27321386228732 47.52395663560414),6645.29114458,352.44319558,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,216
467,POINT (-122.32532121573277 47.52841964648099),6629.60569077,350.96538095,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,219
404,POINT (-122.31571873919856 47.55314477544608),6094.85146586,342.94198457,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,225
404,POINT (-122.3155156530292 47.55314458475663),6046.68747669,341.86894139,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,226
4453,POINT (-122.39193207358201 47.536350060190955),6448.44590611,348.97511913,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,232
319,POINT (-122.40043759853435 47.64110235674384),6542.42965044,351.85804153,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,238
423,POINT (-122.28661347235776 47.56244930290175),6488.81420362,348.2961831,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,241
3102,POINT (-122.31986632513215 47.61590576318698),7230.43759075,359.27323938,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,1
457,POINT (-122.3498063353951 47.52674697456407),7650.54997646,368.86614575,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,2
410,POINT (-122.3220811987456 47.5523710554296),6990.4088572,356.80224762,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,3
292,POINT (-122.34341187201993 47.668705808476595),6532.23869856,349.56076437,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,108
292,POINT (-122.34319360329405 47.66870457517092),6448.36142722,348.28510675,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,109
292,POINT (-122.3434060172104 47.66971735835189),6584.20930946,349.76124588,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,117
287,POINT (-122.31539844667203 47.68060560620969),6727.42727629,356.13833738,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,130
352,POINT (-122.29527027917456 47.70633435598172),6293.76170978,345.62368301,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,136
369,POINT (-122.27801560367922 47.634868615504104),6337.28592609,345.2021258,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,140
340,POINT (-122.27897139093216 47.65931693117253),6348.23253387,347.07415924,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,152
398,POINT (-122.25288356231054 47.6813488300231),6364.93435987,348.64535843,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,154
310,POINT (-122.40471936325622 47.65681827394577),6531.43452206,349.89158004,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,162
288,POINT (-122.34952605354296 47.72351477893287),6266.77000543,347.30861226,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,163
288,POINT (-122.34990572769685 47.72351882886482),5489.80087368,333.79765745,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,165
331,POINT (-122.35848771434087 47.64479588917849),6214.25035377,345.96420705,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,175
426,POINT (-122.29678867681967 47.585651556950424),6654.06431805,351.45248231,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,186
456,POINT (-122.38499833771711 47.578946555594165),6127.39941799,344.33612679,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,202
456,POINT (-122.38520205424045 47.578948330500594),6137.48252206,344.41468516,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,203
402,POINT (-122.28280196562157 47.54792018376045),6451.26237694,348.69396742,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,211
422,POINT (-122.27343615413602 47.52395689354805),6706.6772715,353.45324092,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,215
446,POINT (-122.40758115107519 47.57924624666468),6361.81763824,346.90989347,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,245
482,POINT (-122.28387447555114 47.67508386523769),6323.8910796,343.6197242,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,247
292,POINT (-122.34318787851154 47.66936607656582),6567.12823233,350.13663125,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,116
352,POINT (-122.29569453473832 47.70633616072353),6281.31053481,345.41727673,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,132
340,POINT (-122.27875847223652 47.65931581739538),6363.49795693,347.32621264,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,149
251,POINT (-122.38062848754068 47.6958876313318),6375.40767892,347.4357307,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,151
398,POINT (-122.25195314943632 47.68135171762541),6377.31116867,348.63914571,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,157
114,POINT (-122.30826622814041 47.57056277803603),6409.61251296,347.18209946,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,193
3941,POINT (-122.37460599432642 47.5402478046348),6366.55789051,345.95814243,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,207
463,POINT (-122.35005144786489 47.54001536418857),6597.7564867,350.52184983,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,208
319,POINT (-122.40043790430909 47.64076495707966),6529.39472879,352.90543633,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,236
292,POINT (-122.34340369252917 47.67004798273519),6705.88169977,353.2096233,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,118
352,POINT (-122.29569762205635 47.70600516681554),6291.04746159,345.79174074,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,128
352,POINT (-122.2952733692211 47.70600336298446),6303.51797509,345.99814698,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,134
340,POINT (-122.27876260418542 47.658984902211586),6299.61232895,345.32419865,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,153
288,POINT (-122.34972210497823 47.7235174501037),5537.93666262,334.97007397,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,164
317,POINT (-122.39762228864996 47.63559988517436),6351.65151782,347.30402701,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,170
399,POINT (-122.31791107382458 47.63196029827112),6569.43868154,351.3386614,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,177
371,POINT (-122.29019821235207 47.61139540207389),6145.44755973,331.58780053,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,181
4242,POINT (-122.29624014419043 47.5900198753478),6622.87927067,350.43173611,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,188
114,POINT (-122.30809453702082 47.57015665108642),6388.45972585,347.66775527,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,195
353,POINT (-122.30042132556497 47.60773968509886),6308.89607531,336.55311426,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,198
467,POINT (-122.3251024575776 47.52841804901062),6366.59754742,456.35614023,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,220
319,POINT (-122.40022149647088 47.640765417536116),6682.67606783,355.80065419,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,224
4453,POINT (-122.3917860733524 47.53666562072928),6345.69540212,345.64653605,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,230
408,POINT (-122.29523597023092 47.552248355129215),6306.36911909,344.24186296,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,231
423,POINT (-122.287052078387 47.562449485822455),6503.73585159,348.54459094,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,240
3881,POINT (-122.31693288335566 47.6910437791373),1499.6644487,159.54137323,06/10/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,250
3881,POINT (-122.3170016792733 47.69097318058138),1695.77634227,171.68922073,06/10/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,251
292,POINT (-122.34318036494102 47.670047476701136),6627.52258869,351.67162863,04/01/2016 12:00:00 AM +0000,0,,Tennis,,,,,,,,,256
340,POINT (-122.27897739697524 47.659580217526084),3521.15855434,240.97853785,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,13
449,POINT (-122.33651950450798 47.65857244234674),7238.11840264,358.50704118,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,14
307,POINT (-122.34280881072247 47.68127442164911),6624.66796937,354.95916063,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,112
292,POINT (-122.34350866595345 47.66532060929774),6465.79340978,350.3083819,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,122
307,POINT (-122.32836666009449 47.68154024088427),6197.80318573,345.90608957,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,126
352,POINT (-122.29548560024406 47.70600426465521),6324.69456558,346.34866026,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,133
380,POINT (-122.32529002344985 47.64293360606063),6396.66226457,350.58035053,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,142
310,POINT (-122.40493857911733 47.656820082743955),6537.27067492,349.98809223,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,160
399,POINT (-122.31760943100574 47.6316148957567),6598.6157163,351.35154539,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,168
331,POINT (-122.35869495987112 47.64479539261291),6265.9679878,346.96864333,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,169
399,POINT (-122.3181289802073 47.631941348828946),6590.47004299,351.21669237,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,176
114,POINT (-122.30830316434698 47.57012591054102),6351.45669959,346.59675279,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,196
428,POINT (-122.25770650271694 47.54806470550071),7470.0815919,365.28343973,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,209
402,POINT (-122.28301693173916 47.54792183650229),6397.74769737,347.70589873,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,213
3881,POINT (-122.31705488007317 47.6908940633783),1949.8968031,185.23404118,06/10/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,252
461,POINT (-122.3970977279458 47.540397760110686),7606.09317131,351.543177,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,4
438,POINT (-122.30822529410062 47.705869730337774),5149.59568939,307.63557892,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,9
488,POINT (-122.30483673797266 47.676415151089586),7674.62480671,369.48392555,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,10
488,POINT (-122.30450850012572 47.67667236187775),1319.46335158,143.44500757,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,11
449,POINT (-122.33652363183415 47.65824975266771),7224.64918556,358.0685446,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,15
307,POINT (-122.34260195901884 47.68131822886894),6629.14736627,355.0314048,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,111
292,POINT (-122.34307785465413 47.66532100524279),6440.53551435,349.89525607,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,120
242,POINT (-122.37034678418806 47.666957459648614),6508.79988726,350.1218102,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,166
317,POINT (-122.39740994007505 47.635602096643524),6348.9456112,347.25940499,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,171
331,POINT (-122.35890125103904 47.64479548960697),6170.2493434,345.56317596,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,174
371,POINT (-122.28998775346817 47.61139306494176),6193.7086515,332.07701435,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,180
426,POINT (-122.29679426708667 47.584979764398035),6654.10384407,351.45313828,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,182
426,POINT (-122.29701784146084 47.584980616163485),6644.65229913,351.29628124,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,183
426,POINT (-122.2970150484523 47.58531651243742),6644.65230018,351.29628127,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,185
419,POINT (-122.28841589789272 47.579576633235995),6354.64263466,345.35687207,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,192
114,POINT (-122.30847657497516 47.57053271297869),6360.34426932,346.34327846,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,194
456,POINT (-122.38540694586081 47.578949294639095),6172.03072827,344.5623934,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,201
4453,POINT (-122.39152248935453 47.536262852042725),6327.20291306,347.55232105,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,234
408,POINT (-122.29502874945446 47.55222240482524),6143.17041658,342.42335602,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,235
319,POINT (-122.4002200954347 47.64110344669608),6598.94700934,352.81201462,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,237
423,POINT (-122.28727048358952 47.5624495759862),6452.42817693,347.69043891,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,242
482,POINT (-122.2840923157419 47.67508236175221),6384.95709264,344.65125907,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,248
